Sequencial;Regiao;UF;Partido;Nr;Candidato;Nome eleitoral;Idade;Situacao;Sexo;QE;base.oposicao.neutro;Grau de instrucao;Ocupacao;Eleito em 2010;Receitas em 2014;Nominais;Custo.Voto
1;SE;SP;PV;4344;ROBERTO ALVES DE LUCENA;ROBERTO DE LUCENA;48;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;316915.53;67191;
2;SE;SP;PR;2222;FRANCISCO EVERARDO OLIVEIRA SILVA;TIRIRICA;49;ELEITO POR QP;MASCULINO;Sim;B;LE E ESCREVE;DEPUTADO;Sim;983590;1016796;
3;SE;SP;PT;1390;VICENTE PAULO DA SILVA;VICENTINHO;58;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;OUTROS;Sim;1440155.23;89001;
4;SE;SP;DEM;2577;ADRIANO ELI CORREA;ELI CORREA FILHO;38;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;LOCUTOR E COMENTARISTA DE RADIO E TELEVIS«O E RADIALISTA;Sim;1107579.77;134138;
5;SE;SP;PSDB;4544;ANTONIO FLORIANO PEREIRA PESARO;FLORIANO PESARO;46;ELEITO POR MêDIA;MASCULINO;Nao;O;SUPERIOR COMPLETO;VEREADOR;Nao;2572639.07;113949;
6;SE;NA;PT;1322;ARLINDO CHIGNALIA JUNIOR;ARLINDO CHINAGLIA;64;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;MêDICO;Sim;4834358.25;135772;
7;SE;SP;DEM;2500;JORGE TADEU MUDALEN;JORGE TADEU;59;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Sim;1830842.37;178771;
8;SE;SP;PSDB;4565;JOSêE RICARDO ALVARENGA TRIPOLI;RICARDO TRIPOLI;62;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;ADVOGADO;Nao;1731513.92;233806;
9;SE;SP;PMDB;1515;LUIZ FELIPE BALEIA TENUTO ROSSI;BALEIA ROSSI;42;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;1641847.38;208352;
10;SE;SP;PSDB;4551;VANDERLEI MACRIS;VANDERLEI MACRIS;64;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;DEPUTADO;Nao;2357202;148449;
11;SE;SP;PSD;5599;WALTER SHINDI IIHOSHI;WALTER IHOSHI;53;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADMINISTRADOR;Nao;2193309.74;88070;
12;SE;SP;PT;1335;VALMIR PRASCIDELLI;VALMIR PRASCIDELLI;50;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;OUTROS;Nao;1523176.6;84419;
13;SE;SP;PR;2255;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;53;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2973591.44;115942;
14;SE;SP;PSB;4000;LUIZ LAURO FERREIRA FILHO;LUIZ LAURO FILHO;36;ELEITO POR QP;MASCULINO;Nao;O;SUPERIOR COMPLETO;PUBLICITARIO;Nao;2989105.81;105247;
15;SE;SP;PTB;1434;NELSON MARQUEZELLI;NELSON MARQUEZELLI;72;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Sim;2563009.73;112711;
16;SE;SP;PT;1332;JOSE MENTOR GUILHERME DE MELLO NETTO;JOSêE MENTOR;66;ELEITO POR MêDIA;MASCULINO;Nao;B;SUPERIOR COMPLETO;ADVOGADO;Sim;1802449.33;82368;
17;SE;SP;SD;7777;PAULO PEREIRA DA SILVA;PAULINHO DA FORCA;58;ELEITO POR QP;MASCULINO;Nao;O;ENSINO MêEDIO COMPLETO;OUTROS;Sim;2859448.5;227186;
18;SE;SP;PT;1354;ANDRES NAVARRO SANCHEZ;ANDRES SANCHEZ;50;ELEITO POR QP;MASCULINO;Nao;B;ENSINO FUNDAMENTAL COMPLETO;EMPRESARIO;Nao;2134926.67;169834;
19;SE;SP;PSD;5533;RICARDO IZAR JUNIOR;RICARDO IZAR;46;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;OUTROS;Sim;2198453.67;113547;
20;SE;SP;PRB;1010;ANTONIO CARLOS MARTINS DE BULHOES;ANTONIO BULHOES;46;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;DEPUTADO;Nao;232500.2;137939;
21;SE;SP;PRB;1080;MARCELO SQUASSONI;MARCELO SQUASONI;47;ELEITO POR QP;MASCULINO;Nao;B;SUPERIOR COMPLETO;VEREADOR;Nao;245873.1;30315;
22;SE;SP;PSB;4030;FLAVIO AUGUSTO DA SILVA;FLAVINHO;42;ELEITO POR MêDIA;MASCULINO;Nao;O;ENSINO FUNDAMENTAL COMPLETO;EMPRESARIO;Nao;102578.41;90437;
